Date_Time,Water_Pressure,Water_Depth
2024-06-05 20:33:14,1022.80,30.75
2024-06-05 20:33:14,1022.84,30.82
2024-06-05 20:33:14,1022.79,30.74
2024-06-05 20:33:14,1022.86,30.85
2024-06-05 20:33:15,1022.81,30.77
2024-06-05 20:33:15,1022.80,30.76
2024-06-05 20:33:15,1022.82,30.79
2024-06-05 20:33:15,1022.82,30.79
2024-06-05 20:33:16,1022.85,30.83
2024-06-05 20:33:16,1022.80,30.75
2024-06-05 20:33:16,1022.77,30.71
2024-06-05 20:33:16,1022.80,30.76
2024-06-05 20:33:17,1022.85,30.83
2024-06-05 20:33:17,1022.82,30.79
2024-06-05 20:33:17,1022.82,30.79
2024-06-05 20:33:17,1022.83,30.81
2024-06-05 20:33:18,1022.81,30.77
2024-06-05 20:33:18,1022.85,30.83
2024-06-05 20:33:18,1022.80,30.76
2024-06-05 20:33:18,1022.80,30.76
2024-06-05 20:33:19,1022.77,30.71
2024-06-05 20:33:19,1022.80,30.76
2024-06-05 20:33:19,1022.84,30.81
2024-06-05 20:33:19,1022.82,30.80
2024-06-05 20:33:20,1022.78,30.73
2024-06-05 20:33:20,1022.82,30.79
2024-06-05 20:33:20,1022.87,30.86
2024-06-05 20:33:20,1022.77,30.71
2024-06-05 20:33:21,1022.80,30.76
2024-06-05 20:33:21,1022.86,30.84
2024-06-05 20:33:21,1022.80,30.76
2024-06-05 20:33:21,1022.88,30.88
2024-06-05 20:33:22,1022.85,30.83
2024-06-05 20:33:22,1022.87,30.86
2024-06-05 20:33:22,1022.78,30.73
2024-06-05 20:33:22,1022.72,30.64
2024-06-05 20:33:23,1022.31,30.01
2024-06-05 20:33:23,1022.81,30.77
2024-06-05 20:33:23,1022.76,30.70
2024-06-05 20:33:23,1191.78,286.78
2024-06-05 20:33:24,1215.49,322.71
2024-06-05 20:33:24,1127.15,188.86
2024-06-05 20:33:24,1060.82,88.36
2024-06-05 20:33:25,1125.83,186.86
2024-06-05 20:33:25,1220.90,330.90
2024-06-05 20:33:25,1244.34,366.43
2024-06-05 20:33:25,1180.60,269.85
2024-06-05 20:33:26,1171.73,256.40
2024-06-05 20:33:26,1163.00,243.18
2024-06-05 20:33:26,1035.93,50.65
2024-06-05 20:33:26,1022.82,30.78
2024-06-05 20:33:27,1022.91,30.93
2024-06-05 20:33:27,1022.85,30.83
2024-06-05 20:33:27,1022.83,30.80
2024-06-05 20:33:27,1022.85,30.83
2024-06-05 20:33:28,1022.84,30.81
2024-06-05 20:33:28,1022.78,30.73
2024-06-05 20:33:28,1022.82,30.78
2024-06-05 20:33:28,1022.85,30.83
